,heading,key,value
24071,Miscellaneous,Tyre Type,"Tubeless,Radial"
24072,Miscellaneous,Alloy Wheel Size,13
24073,Miscellaneous,No Door Numbers,4
24074,Engine and Transmission,Color,Silver
24075,Engine and Transmission,Engine Type,dCi Diesel Engine 
24076,Engine and Transmission,Displacement,1461
24077,Engine and Transmission,Max Power,83.8bhp@3750rpm
24078,Engine and Transmission,Max Torque,200Nm@1900rpm
24079,Engine and Transmission,No of Cylinder,4
24080,Engine and Transmission,Values per Cylinder,4
24081,Engine and Transmission,Value Configuration,DOHC
24082,Engine and Transmission,Fuel Suppy System,CRDI
24083,Engine and Transmission,Turbo Charger,Yes
24084,Engine and Transmission,Super Charger,No
24085,Dimensions & Capacity,Length,4315mm
24086,Dimensions & Capacity,Width,1822mm
24087,Dimensions & Capacity,Height,1695mm
24088,Dimensions & Capacity,Wheel Base,2673mm
24089,Dimensions & Capacity,Front Tread,1560mm
24090,Dimensions & Capacity,Rear Tread,1567mm
24091,Dimensions & Capacity,Kerb Weight,1240
24092,Dimensions & Capacity,Gross Weight,1758kg
24093,Miscellaneous,Gear Box,5 speed
24094,Miscellaneous,Drive Type,FWD
24095,Miscellaneous,Seating Capacity,5
24096,Miscellaneous,Steering Type,Power
24097,Miscellaneous,Turning Radius,5.2 metres
24098,Miscellaneous,Front Brake Type,Ventilated Disc
24099,Miscellaneous,Rear Brake Type,Drum
24100,Miscellaneous,Tyre Type,"Tubeless,Radial"
24101,Miscellaneous,Alloy Wheel Size,16
24102,Miscellaneous,No Door Numbers,5
24103,Miscellaneous,Cargo Volumn,475-litres
24104,Engine and Transmission,Color,Blue
24105,Engine and Transmission,Engine Type,2.2 LTR. VARICOR 400
24106,Engine and Transmission,Displacement,2179
24107,Engine and Transmission,Max Power,153.86bhp@4000
24108,Engine and Transmission,Max Torque,400Nm@1750-2500rpm
24109,Engine and Transmission,No of Cylinder,4
24110,Engine and Transmission,Values per Cylinder,4
24111,Engine and Transmission,Value Configuration,DOHC
24112,Engine and Transmission,Fuel Suppy System,CRDi
24113,Engine and Transmission,Turbo Charger,Yes
24114,Engine and Transmission,Super Charger,No
24115,Dimensions & Capacity,Length,4788mm
24116,Dimensions & Capacity,Width,1900mm
24117,Dimensions & Capacity,Height,1785mm
24118,Dimensions & Capacity,Wheel Base,2850mm
24119,Dimensions & Capacity,Kerb Weight,1950
24120,Miscellaneous,Gear Box,6 Speed
24121,Miscellaneous,Drive Type,AWD
24122,Miscellaneous,Seating Capacity,7
24123,Miscellaneous,Steering Type,Power
24124,Miscellaneous,Turning Radius,5.75m
24125,Miscellaneous,Front Brake Type,Disc
24126,Miscellaneous,Rear Brake Type,Disc
24127,Miscellaneous,Tyre Type,"Tubeless,Radial"
24128,Miscellaneous,Alloy Wheel Size,17
24129,Miscellaneous,No Door Numbers,5
24130,Miscellaneous,Cargo Volumn,128
24131,Engine and Transmission,Color,Others
24132,Engine and Transmission,Engine Type,1.0L Turbo
24133,Engine and Transmission,Displacement,999
24134,Engine and Transmission,Max Power,98.63bhp@5000rpm
24135,Engine and Transmission,Max Torque,152Nm@2200-4400rpm
24136,Engine and Transmission,No of Cylinder,3
24137,Engine and Transmission,Values per Cylinder,4
24138,Engine and Transmission,Fuel Suppy System,MPFi
24139,Engine and Transmission,Turbo Charger,Yes
24140,Dimensions & Capacity,Length,3991mm
24141,Dimensions & Capacity,Width,1750
24142,Dimensions & Capacity,Height,1605
24143,Dimensions & Capacity,Wheel Base,2500
24144,Dimensions & Capacity,Front Tread,1536
24145,Dimensions & Capacity,Rear Tread,1535
24146,Dimensions & Capacity,Kerb Weight,1046
24147,Miscellaneous,Gear Box,CVT
24148,Miscellaneous,Seating Capacity,5
24149,Miscellaneous,Steering Type,Electric
24150,Miscellaneous,Front Brake Type,Disc
24151,Miscellaneous,Rear Brake Type,Drum
24152,Miscellaneous,Tyre Type,"Tubeless, Radial"
24153,Miscellaneous,Alloy Wheel Size,16
24154,Miscellaneous,No Door Numbers,5
24155,Miscellaneous,Cargo Volumn,405
24156,Engine and Transmission,Color,White
24157,Engine and Transmission,Engine Type,U2 CRDI VGT Engine
24158,Engine and Transmission,Displacement,1582
24159,Engine and Transmission,Max Power,126.2bhp@4000rpm
24160,Engine and Transmission,Max Torque,259.9Nm@1900-2750rpm
24161,Engine and Transmission,No of Cylinder,4
24162,Engine and Transmission,Values per Cylinder,4
24163,Engine and Transmission,Value Configuration,DOHC
24164,Engine and Transmission,Fuel Suppy System,CRDi
24165,Engine and Transmission,Turbo Charger,Yes
24166,Engine and Transmission,Super Charger,No
24167,Dimensions & Capacity,Length,4270mm
24168,Dimensions & Capacity,Width,1780mm
24169,Dimensions & Capacity,Height,1630mm
24170,Dimensions & Capacity,Wheel Base,2590mm
24171,Dimensions & Capacity,Kerb Weight,1280
24172,Miscellaneous,Gear Box,6 Speed
24173,Miscellaneous,Drive Type,FWD
24174,Miscellaneous,Seating Capacity,5
24175,Miscellaneous,Steering Type,Power
24176,Miscellaneous,Turning Radius,5.3 metres
24177,Miscellaneous,Front Brake Type,Disc
24178,Miscellaneous,Rear Brake Type,Drum
24179,Miscellaneous,Top Speed,190 Kmph
24180,Miscellaneous,Acceleration,10.5 Seconds
24181,Miscellaneous,Tyre Type,Tubeless
24182,Miscellaneous,Alloy Wheel Size,16
24183,Miscellaneous,No Door Numbers,5
24184,Miscellaneous,Cargo Volumn,400-litres
24185,Engine and Transmission,Color,Others
24186,Engine and Transmission,Engine Type,VTVT Petrol Engine
24187,Engine and Transmission,Displacement,1591
24188,Engine and Transmission,Max Power,121.3bhp@6400rpm
24189,Engine and Transmission,Max Torque,151Nm@4850rpm
24190,Engine and Transmission,No of Cylinder,4
24191,Engine and Transmission,Values per Cylinder,4
24192,Engine and Transmission,Value Configuration,DOHC
24193,Engine and Transmission,Fuel Suppy System,MPFI
24194,Engine and Transmission,Turbo Charger,No
24195,Engine and Transmission,Super Charger,No
24196,Dimensions & Capacity,Length,4270mm
24197,Dimensions & Capacity,Width,1780mm
24198,Dimensions & Capacity,Height,1630mm
24199,Dimensions & Capacity,Wheel Base,2590mm
24200,Dimensions & Capacity,Kerb Weight,"1,310"
24201,Miscellaneous,Gear Box,6 Speed
24202,Miscellaneous,Drive Type,FWD
24203,Miscellaneous,Seating Capacity,5
24204,Miscellaneous,Steering Type,Power
24205,Miscellaneous,Turning Radius,5.3 metres
24206,Miscellaneous,Front Brake Type,Disc
24207,Miscellaneous,Rear Brake Type,Drum
24208,Miscellaneous,Top Speed,165 Kmph
24209,Miscellaneous,Acceleration,10.5 Seconds
24210,Miscellaneous,Tyre Type,Tubeless
24211,Miscellaneous,No Door Numbers,5
24212,Miscellaneous,Cargo Volumn,400-litres
24213,Engine and Transmission,Color,Others
24214,Engine and Transmission,Engine Type,Petrol Engine
24215,Engine and Transmission,Displacement,814
24216,Engine and Transmission,Max Power,55.2bhp@5500rpm
24217,Engine and Transmission,Max Torque,74.5Nm@4000rpm
24218,Engine and Transmission,No of Cylinder,3
24219,Engine and Transmission,Values per Cylinder,3
24220,Engine and Transmission,Value Configuration,SOHC
24221,Engine and Transmission,Fuel Suppy System,MPFI
24222,Engine and Transmission,Turbo Charger,No
24223,Engine and Transmission,Super Charger,No
24224,Dimensions & Capacity,Length,3495mm
24225,Dimensions & Capacity,Width,1550mm
24226,Dimensions & Capacity,Height,1500mm
24227,Dimensions & Capacity,Wheel Base,2380mm
24228,Dimensions & Capacity,Front Tread,1386mm
24229,Dimensions & Capacity,Rear Tread,1368mm
24230,Dimensions & Capacity,Kerb Weight,860
24231,Miscellaneous,Gear Box,5 Speed
24232,Miscellaneous,Drive Type,FWD
24233,Miscellaneous,Seating Capacity,5
24234,Miscellaneous,Steering Type,Power
24235,Miscellaneous,Turning Radius,4.6 metres
24236,Miscellaneous,Front Brake Type,Disc
24237,Miscellaneous,Rear Brake Type,Drum
24238,Miscellaneous,Top Speed,135 Kmph
24239,Miscellaneous,Acceleration,19 Seconds
24240,Miscellaneous,Tyre Type,Tubeless
24241,Miscellaneous,No Door Numbers,5
24242,Miscellaneous,Cargo Volumn,215-litres
24243,Engine and Transmission,Color,Others
24244,Engine and Transmission,Engine Type,F8D Petrol Engine
24245,Engine and Transmission,Displacement,796
24246,Engine and Transmission,Max Power,47.3bhp@6000rpm
24247,Engine and Transmission,Max Torque,69Nm@3500rpm
24248,Engine and Transmission,No of Cylinder,3
24249,Engine and Transmission,Values per Cylinder,4
24250,Engine and Transmission,Value Configuration,DOHC
24251,Engine and Transmission,Fuel Suppy System,MPFi
24252,Engine and Transmission,Turbo Charger,No
24253,Engine and Transmission,Super Charger,No
24254,Dimensions & Capacity,Length,3395mm
24255,Dimensions & Capacity,Width,1490mm
24256,Dimensions & Capacity,Height,1475mm
24257,Dimensions & Capacity,Wheel Base,2360mm
24258,Dimensions & Capacity,Front Tread,1295mm
24259,Dimensions & Capacity,Rear Tread,1290mm
24260,Dimensions & Capacity,Kerb Weight,720kg
24261,Dimensions & Capacity,Gross Weight,1185kg
24262,Miscellaneous,Gear Box,5 Speed
24263,Miscellaneous,Drive Type,FWD
24264,Miscellaneous,Seating Capacity,5
24265,Miscellaneous,Steering Type,Power
24266,Miscellaneous,Turning Radius,4.6 metres
24267,Miscellaneous,Front Brake Type,Solid Disc
24268,Miscellaneous,Rear Brake Type,Drum
24269,Miscellaneous,Top Speed,140 kmph
24270,Miscellaneous,Acceleration,19 Seconds
24271,Miscellaneous,Tyre Type,Tubeless Tyres
24272,Miscellaneous,No Door Numbers,5
24273,Miscellaneous,Cargo Volumn,177-litres
24274,Engine and Transmission,Color,Green
24275,Engine and Transmission,Engine Type,Petrol Engine
24276,Engine and Transmission,Displacement,1196
24277,Engine and Transmission,Max Power,70bhp@6250rpm
24278,Engine and Transmission,Max Torque,102Nm@4000rpm
24279,Engine and Transmission,No of Cylinder,4
24280,Engine and Transmission,Values per Cylinder,4
24281,Engine and Transmission,Value Configuration,DOHC
24282,Engine and Transmission,Fuel Suppy System,SEFI
24283,Engine and Transmission,Turbo Charger,No
24284,Engine and Transmission,Super Charger,No
24285,Dimensions & Capacity,Length,3795mm
24286,Dimensions & Capacity,Width,1680mm
24287,Dimensions & Capacity,Height,1427mm
24288,Dimensions & Capacity,Wheel Base,2489mm
24289,Dimensions & Capacity,Kerb Weight,1090kg
24290,Miscellaneous,Gear Box,5 Speed
24291,Miscellaneous,Drive Type,Front Wheel Drive
24292,Miscellaneous,Seating Capacity,5
24293,Miscellaneous,Steering Type,Power
24294,Miscellaneous,Turning Radius,4.9m
24295,Miscellaneous,Front Brake Type,Ventilated Disc
24296,Miscellaneous,Rear Brake Type,Drum
24297,Miscellaneous,Top Speed,148km/hr
24298,Miscellaneous,Acceleration,14.8 Seconds
24299,Miscellaneous,Tyre Type,"Tubeless,Radial"
24300,Miscellaneous,Alloy Wheel Size,14
24301,Miscellaneous,No Door Numbers,5
24302,Miscellaneous,Cargo Volumn,284 Liters
24303,Engine and Transmission,Color,Brown
24304,Engine and Transmission,Engine Type,i-VTEC Engine
24305,Engine and Transmission,Displacement,1497
24306,Engine and Transmission,Max Power,117.3bhp@6600rpm
24307,Engine and Transmission,Max Torque,145Nm@4600rpm
24308,Engine and Transmission,No of Cylinder,4
24309,Engine and Transmission,Values per Cylinder,4
24310,Engine and Transmission,Value Configuration,SOHC
24311,Engine and Transmission,Fuel Suppy System,PGM-FI
24312,Engine and Transmission,BoreX Stroke,73.0 X 89.4 mm
24313,Engine and Transmission,Compression Ratio,10.3:1
24314,Engine and Transmission,Turbo Charger,No
24315,Engine and Transmission,Super Charger,No
24316,Dimensions & Capacity,Length,4386mm
24317,Dimensions & Capacity,Width,1683mm
24318,Dimensions & Capacity,Height,1603mm
24319,Dimensions & Capacity,Wheel Base,2652mm
24320,Dimensions & Capacity,Kerb Weight,1145Kg
24321,Miscellaneous,Gear Box,5 Speed
24322,Miscellaneous,Drive Type,FWD
24323,Miscellaneous,Seating Capacity,7
24324,Miscellaneous,Steering Type,Power
24325,Miscellaneous,Turning Radius,5.2 metres
24326,Miscellaneous,Front Brake Type,Disc
24327,Miscellaneous,Rear Brake Type,Drum
24328,Miscellaneous,Top Speed,160 Kmph
24329,Miscellaneous,Acceleration,16 Seconds
24330,Miscellaneous,Tyre Type,"Tubeless,Radial"
24331,Miscellaneous,No Door Numbers,5
24332,Miscellaneous,Cargo Volumn,223-litres
24333,Engine and Transmission,Color,Others
24334,Engine and Transmission,Engine Type,Kappa Petrol Engine
24335,Engine and Transmission,Displacement,1197
24336,Engine and Transmission,Max Power,78.9bhp@6000rpm
24337,Engine and Transmission,Max Torque,111.7Nm@4000rpm
24338,Engine and Transmission,No of Cylinder,4
24339,Engine and Transmission,Values per Cylinder,4
24340,Engine and Transmission,Value Configuration,DOHC 
24341,Engine and Transmission,Fuel Suppy System,MPFI
24342,Engine and Transmission,BoreX Stroke,71 x 75.6 mm
24343,Engine and Transmission,Compression Ratio,10.5:1 
24344,Engine and Transmission,Turbo Charger,No
24345,Engine and Transmission,Super Charger,No
24346,Dimensions & Capacity,Length,3585mm
24347,Dimensions & Capacity,Width,1595mm
24348,Dimensions & Capacity,Height,1550mm
24349,Dimensions & Capacity,Wheel Base,2380mm
24350,Dimensions & Capacity,Front Tread,1400mm
24351,Dimensions & Capacity,Rear Tread,1385mm
24352,Dimensions & Capacity,Kerb Weight,930
24353,Miscellaneous,Gear Box,5 Speed
24354,Miscellaneous,Drive Type,FWD
24355,Miscellaneous,Seating Capacity,5
24356,Miscellaneous,Steering Type,Power
24357,Miscellaneous,Front Brake Type,Ventilated Disc
24358,Miscellaneous,Rear Brake Type,Drum
24359,Miscellaneous,Tyre Type,"Tubeless,Radial"
24360,Miscellaneous,Alloy Wheel Size,13
24361,Miscellaneous,No Door Numbers,4
24362,Engine and Transmission,Color,Black
24363,Engine and Transmission,Engine Type,i-VTEC Petrol Engine
24364,Engine and Transmission,Displacement,1199
24365,Engine and Transmission,Max Power,88.7bhp@6000rpm
24366,Engine and Transmission,Max Torque,110Nm@4800rpm
24367,Engine and Transmission,No of Cylinder,4
24368,Engine and Transmission,Values per Cylinder,4
24369,Engine and Transmission,Value Configuration,SOHC
24370,Engine and Transmission,Fuel Suppy System,MPFi
24371,Engine and Transmission,Turbo Charger,No
24372,Engine and Transmission,Super Charger,No
24373,Dimensions & Capacity,Length,3999mm
24374,Dimensions & Capacity,Width,1734mm
24375,Dimensions & Capacity,Height,1601mm
24376,Dimensions & Capacity,Wheel Base,2555mm
24377,Dimensions & Capacity,Kerb Weight,1103kg
24378,Miscellaneous,Gear Box,5 Speed
24379,Miscellaneous,Drive Type,FWD
24380,Miscellaneous,Seating Capacity,5
24381,Miscellaneous,Steering Type,Electric
24382,Miscellaneous,Turning Radius,5.3 metres
24383,Miscellaneous,Front Brake Type,Ventilated Disc
24384,Miscellaneous,Rear Brake Type,Drum
24385,Miscellaneous,Top Speed,164.26 kmph
24386,Miscellaneous,Acceleration,15.31 Seconds
24387,Miscellaneous,Tyre Type,"Tubeless,Radial"
24388,Miscellaneous,Alloy Wheel Size,16
24389,Miscellaneous,No Door Numbers,5
24390,Miscellaneous,Cargo Volumn,363 Litres
24391,Engine and Transmission,Color,Silver
24392,Engine and Transmission,Engine Type,VTVT Petrol Engine
24393,Engine and Transmission,Displacement,1591
24394,Engine and Transmission,Max Power,121.3bhp@6400rpm
24395,Engine and Transmission,Max Torque,151Nm@4850rpm
24396,Engine and Transmission,No of Cylinder,4
24397,Engine and Transmission,Values per Cylinder,4
24398,Engine and Transmission,Value Configuration,DOHC
24399,Engine and Transmission,Fuel Suppy System,MPFI
24400,Engine and Transmission,Turbo Charger,No
24401,Engine and Transmission,Super Charger,No
24402,Dimensions & Capacity,Length,4270mm
24403,Dimensions & Capacity,Width,1780mm
24404,Dimensions & Capacity,Height,1630mm
24405,Dimensions & Capacity,Wheel Base,2590mm
24406,Dimensions & Capacity,Kerb Weight,"1,310"
24407,Miscellaneous,Gear Box,6 Speed
24408,Miscellaneous,Drive Type,FWD
24409,Miscellaneous,Seating Capacity,5
24410,Miscellaneous,Steering Type,Power
24411,Miscellaneous,Turning Radius,5.3 metres
24412,Miscellaneous,Front Brake Type,Disc
24413,Miscellaneous,Rear Brake Type,Drum
24414,Miscellaneous,Top Speed,165 Kmph
24415,Miscellaneous,Acceleration,10.5 Seconds
24416,Miscellaneous,Tyre Type,Tubeless
24417,Miscellaneous,No Door Numbers,5
24418,Miscellaneous,Cargo Volumn,400-litres
24419,Engine and Transmission,Color,Red
24420,Engine and Transmission,Engine Type,1.2 l Revotron
24421,Engine and Transmission,Displacement,1199
24422,Engine and Transmission,Max Power,86.83bhp@6000rpm
24423,Engine and Transmission,Max Torque,113Nm@3300rpm
24424,Engine and Transmission,No of Cylinder,3
24425,Engine and Transmission,Values per Cylinder,4
24426,Engine and Transmission,Turbo Charger,No
24427,Dimensions & Capacity,Length,3990mm
24428,Dimensions & Capacity,Width,1755
24429,Dimensions & Capacity,Height,1523
24430,Dimensions & Capacity,Wheel Base,2501
24431,Dimensions & Capacity,Kerb Weight,965
24432,Miscellaneous,Gear Box,5-Speed
24433,Miscellaneous,Seating Capacity,5
24434,Miscellaneous,Steering Type,Electric
24435,Miscellaneous,Turning Radius,5.0
24436,Miscellaneous,Front Brake Type,Disc
24437,Miscellaneous,Rear Brake Type,Drum
24438,Miscellaneous,Tyre Type,"Tubeless,Radial"
24439,Miscellaneous,No Door Numbers,5
24440,Miscellaneous,Cargo Volumn,345
24441,Engine and Transmission,Color,Others
24442,Engine and Transmission,Engine Type,In-Line Engine
24443,Engine and Transmission,Displacement,1197
24444,Engine and Transmission,Max Power,"85ps @ 6,000rpm"
24445,Engine and Transmission,Max Torque,"113Nm @ 4,500rpm"
24446,Engine and Transmission,No of Cylinder,4
24447,Engine and Transmission,Values per Cylinder,4
24448,Engine and Transmission,Value Configuration,DOHC
24449,Engine and Transmission,Fuel Suppy System,MPFI
24450,Engine and Transmission,BoreX Stroke,74.0 x 75.5 mm
24451,Engine and Transmission,Compression Ratio,9:01
24452,Engine and Transmission,Turbo Charger,Yes
24453,Engine and Transmission,Super Charger,No
24454,Dimensions & Capacity,Length,3760mm
24455,Dimensions & Capacity,Width,1690mm
24456,Dimensions & Capacity,Height,1530mm
24457,Dimensions & Capacity,Wheel Base,2390mm
24458,Dimensions & Capacity,Front Tread,1470mm
24459,Dimensions & Capacity,Rear Tread,1480mm
24460,Dimensions & Capacity,Kerb Weight,1010kg
24461,Dimensions & Capacity,Gross Weight,1415kg
24462,Miscellaneous,Gear Box,5 Speed
24463,Miscellaneous,Seating Capacity,5
24464,Miscellaneous,Steering Type,Power
24465,Miscellaneous,Turning Radius,4.7 m
24466,Miscellaneous,Front Brake Type,Ventilated Disc
24467,Miscellaneous,Rear Brake Type,Drum
24468,Miscellaneous,Top Speed,160 kmph
24469,Miscellaneous,Acceleration,12.29 seconds
24470,Miscellaneous,Tyre Type,"Tubeless,Radial"
24471,Miscellaneous,Alloy Wheel Size,14
24472,Miscellaneous,No Door Numbers,5
24473,Miscellaneous,Cargo Volumn,232 litres
24474,Engine and Transmission,Color,Blue
24475,Engine and Transmission,Engine Type,k14B VVT Engine
24476,Engine and Transmission,Displacement,1373
24477,Engine and Transmission,Max Power,91.1bhp@6000rpm
24478,Engine and Transmission,Max Torque,130Nm@4000rpm
24479,Engine and Transmission,No of Cylinder,4
24480,Engine and Transmission,Values per Cylinder,4
24481,Engine and Transmission,Value Configuration,DOHC
24482,Engine and Transmission,Fuel Suppy System,MPFI
24483,Engine and Transmission,BoreX Stroke,73 x 82mm
24484,Engine and Transmission,Compression Ratio,10.1:1
24485,Engine and Transmission,Turbo Charger,No
24486,Engine and Transmission,Super Charger,No
24487,Dimensions & Capacity,Length,4490mm
24488,Dimensions & Capacity,Width,1730mm
24489,Dimensions & Capacity,Height,1485mm
24490,Dimensions & Capacity,Wheel Base,2650mm
24491,Dimensions & Capacity,Front Tread,1495mm
24492,Dimensions & Capacity,Rear Tread,1505mm
24493,Dimensions & Capacity,Kerb Weight,1030kg
24494,Dimensions & Capacity,Gross Weight,1490kg
24495,Miscellaneous,Gear Box,4 Speed
24496,Miscellaneous,Drive Type,FWD
24497,Miscellaneous,Seating Capacity,5
24498,Miscellaneous,Steering Type,Power
24499,Miscellaneous,Turning Radius,5.4 metres
24500,Miscellaneous,Front Brake Type,Ventilated Disc
24501,Miscellaneous,Rear Brake Type,Drum
24502,Miscellaneous,Top Speed,190 kmph
24503,Miscellaneous,Acceleration,14 Seconds
24504,Miscellaneous,Tyre Type,"Tubeless, Radial"
24505,Miscellaneous,Alloy Wheel Size,16
24506,Miscellaneous,No Door Numbers,4
24507,Miscellaneous,Cargo Volumn,510-litres
24508,Engine and Transmission,Color,Green
24509,Engine and Transmission,Engine Type,Revotron 1.2 l
24510,Engine and Transmission,Displacement,1199
24511,Engine and Transmission,Max Power,84.48bhp@6000rpm
24512,Engine and Transmission,Max Torque,113Nm@3300rpm
24513,Engine and Transmission,No of Cylinder,3
24514,Engine and Transmission,Values per Cylinder,4
24515,Dimensions & Capacity,Length,3802mm
24516,Dimensions & Capacity,Width,1677
24517,Dimensions & Capacity,Height,1537
24518,Dimensions & Capacity,Wheel Base,2400
24519,Dimensions & Capacity,Kerb Weight,1015
24520,Miscellaneous,Gear Box,5 Speed
24521,Miscellaneous,Drive Type,FWD
24522,Miscellaneous,Seating Capacity,5
24523,Miscellaneous,Steering Type,Electric
24524,Miscellaneous,Front Brake Type,Disc
24525,Miscellaneous,Rear Brake Type,Drum
24526,Miscellaneous,Tyre Type,"Tubeless, Radial"
24527,Miscellaneous,No Door Numbers,5
24528,Miscellaneous,Cargo Volumn,242
24529,Engine and Transmission,Color,Others
24530,Engine and Transmission,Engine Type,K Series Petrol Engine
24531,Engine and Transmission,Displacement,998
24532,Engine and Transmission,Max Power,67.1bhp@6200rpm
24533,Engine and Transmission,Max Torque,90Nm@3500rpm
24534,Engine and Transmission,No of Cylinder,3
24535,Engine and Transmission,Values per Cylinder,4
24536,Engine and Transmission,Fuel Suppy System,MPFI
24537,Engine and Transmission,Turbo Charger,No
24538,Engine and Transmission,Super Charger,No
24539,Dimensions & Capacity,Length,3600mm
24540,Dimensions & Capacity,Width,1475mm
24541,Dimensions & Capacity,Height,1595mm
24542,Dimensions & Capacity,Wheel Base,2360mm
24543,Dimensions & Capacity,Front Tread,1295mm
24544,Dimensions & Capacity,Rear Tread,1290mm
24545,Dimensions & Capacity,Kerb Weight,845kg
24546,Dimensions & Capacity,Gross Weight,1275kg
24547,Miscellaneous,Gear Box,5 Speed
24548,Miscellaneous,Drive Type,FWD
24549,Miscellaneous,Seating Capacity,5
24550,Miscellaneous,Steering Type,Power
24551,Miscellaneous,Turning Radius,4.6 metres
24552,Miscellaneous,Front Brake Type,Ventilated Disc
24553,Miscellaneous,Rear Brake Type,Drum
24554,Miscellaneous,Top Speed,160km/hr
24555,Miscellaneous,Acceleration,16.26 Seconds
24556,Miscellaneous,Tyre Type,"Tubeless, Radial"
24557,Miscellaneous,Alloy Wheel Size,13
24558,Miscellaneous,No Door Numbers,5
24559,Engine and Transmission,Color,Others
24560,Engine and Transmission,Engine Type,mHawk Diesel Engine
24561,Engine and Transmission,Displacement,2179
24562,Engine and Transmission,Max Power,140bhp@3750rpm
24563,Engine and Transmission,Max Torque,330Nm@1600-2800rpm
24564,Engine and Transmission,No of Cylinder,4
24565,Engine and Transmission,Values per Cylinder,4
24566,Engine and Transmission,Value Configuration,DOHC
24567,Engine and Transmission,Fuel Suppy System,Direct Injection
24568,Engine and Transmission,Turbo Charger,Yes
24569,Engine and Transmission,Super Charger,No
24570,Dimensions & Capacity,Length,4585mm
24571,Dimensions & Capacity,Width,1890mm
24572,Dimensions & Capacity,Height,1785mm
24573,Dimensions & Capacity,Wheel Base,2700mm
24574,Dimensions & Capacity,Kerb Weight,1860
24575,Dimensions & Capacity,Gross Weight,2510kg
24576,Miscellaneous,Gear Box,6 Speed
24577,Miscellaneous,Drive Type,FWD
24578,Miscellaneous,Seating Capacity,7
24579,Miscellaneous,Steering Type,Power
24580,Miscellaneous,Turning Radius,5.6 metres
24581,Miscellaneous,Front Brake Type,Disc
24582,Miscellaneous,Rear Brake Type,Disc
24583,Miscellaneous,Top Speed,185 Kmph
24584,Miscellaneous,Acceleration,10 Seconds
24585,Miscellaneous,Tyre Type,Tubeless Tyres
24586,Miscellaneous,Alloy Wheel Size,17
24587,Miscellaneous,No Door Numbers,5
24588,Miscellaneous,Cargo Volumn,720-litres
24589,Engine and Transmission,Color,Gray
24590,Engine and Transmission,Engine Type,1.4L MultiAir Petrol
24591,Engine and Transmission,Displacement,1368
24592,Engine and Transmission,Max Power,160.77bhp@5500rpm
24593,Engine and Transmission,Max Torque,250Nm@2500-4000rpm
24594,Engine and Transmission,No of Cylinder,4
24595,Engine and Transmission,Values per Cylinder,4
24596,Dimensions & Capacity,Length,4405mm
24597,Dimensions & Capacity,Width,1818mm
24598,Dimensions & Capacity,Height,1640mm
24599,Dimensions & Capacity,Wheel Base,2636mm
24600,Dimensions & Capacity,Kerb Weight,1580
24601,Miscellaneous,Gear Box,7 Speed DCT
24602,Miscellaneous,Drive Type,4x2
24603,Miscellaneous,Seating Capacity,5
24604,Miscellaneous,Steering Type,Power
24605,Miscellaneous,Front Brake Type,Disc
24606,Miscellaneous,Rear Brake Type,Disc
24607,Miscellaneous,Tyre Type,"Tubeless, Radial"
24608,Miscellaneous,Alloy Wheel Size,18
24609,Miscellaneous,No Door Numbers,5
24610,Engine and Transmission,Color,Others
24611,Engine and Transmission,Displacement,1197
24612,Engine and Transmission,Max Power,88.50bhp@6000rpm
24613,Engine and Transmission,Max Torque,113Nm@4400rpm
24614,Engine and Transmission,No of Cylinder,4
24615,Engine and Transmission,Values per Cylinder,4
24616,Dimensions & Capacity,Length,3995mm
24617,Dimensions & Capacity,Width,1735
24618,Dimensions & Capacity,Height,1515
24619,Dimensions & Capacity,Ground Clearance Unladen,160
24620,Dimensions & Capacity,Wheel Base,2450
24621,Dimensions & Capacity,Kerb Weight,880-915
24622,Dimensions & Capacity,Gross Weight,1335
24623,Miscellaneous,Gear Box,5 Speed
24624,Miscellaneous,Seating Capacity,5
24625,Miscellaneous,Steering Type,Electric
24626,Miscellaneous,Turning Radius,4.8
24627,Miscellaneous,Front Brake Type,Disc
24628,Miscellaneous,Rear Brake Type,Drum
24629,Miscellaneous,Tyre Type,"Tubeless, Radial"
24630,Miscellaneous,No Door Numbers,4
24631,Miscellaneous,Cargo Volumn,378
24632,Engine and Transmission,Color,Silver
24633,Engine and Transmission,Engine Type,Petrol Engine
24634,Engine and Transmission,Displacement,814
24635,Engine and Transmission,Max Power,55.2bhp@5500rpm
24636,Engine and Transmission,Max Torque,74.5Nm@4000rpm
24637,Engine and Transmission,No of Cylinder,3
24638,Engine and Transmission,Values per Cylinder,3
24639,Engine and Transmission,Value Configuration,SOHC
24640,Engine and Transmission,Fuel Suppy System,MPFI
24641,Engine and Transmission,Turbo Charger,No
24642,Engine and Transmission,Super Charger,No
24643,Dimensions & Capacity,Length,3495mm
24644,Dimensions & Capacity,Width,1550mm
24645,Dimensions & Capacity,Height,1500mm
24646,Dimensions & Capacity,Wheel Base,2380mm
24647,Dimensions & Capacity,Front Tread,1386mm
24648,Dimensions & Capacity,Rear Tread,1368mm
24649,Dimensions & Capacity,Kerb Weight,880
24650,Miscellaneous,Gear Box,5 Speed
24651,Miscellaneous,Drive Type,FWD
24652,Miscellaneous,Seating Capacity,5
24653,Miscellaneous,Steering Type,Power
24654,Miscellaneous,Turning Radius,4.6 metres
24655,Miscellaneous,Front Brake Type,Disc
24656,Miscellaneous,Rear Brake Type,Drum
