,heading,key,value
247,Miscellaneous,Drive Type,2 WD
248,Miscellaneous,Seating Capacity,5
249,Miscellaneous,Steering Type,Power
250,Miscellaneous,Turning Radius,4.7m
251,Miscellaneous,Front Brake Type,Ventilated Disc
252,Miscellaneous,Rear Brake Type,Drum
253,Miscellaneous,Tyre Type,"Tubeless,Radial"
254,Miscellaneous,Alloy Wheel Size,14
255,Miscellaneous,No Door Numbers,4
256,Miscellaneous,Cargo Volumn,464 litres
257,Engine and Transmission,Color,Red
258,Engine and Transmission,Engine Type,K Series Petrol Engine
259,Engine and Transmission,Displacement,998
260,Engine and Transmission,Max Power,67.1bhp@6200rpm
261,Engine and Transmission,Max Torque,90Nm@3500rpm
262,Engine and Transmission,No of Cylinder,3
263,Engine and Transmission,Values per Cylinder,4
264,Engine and Transmission,Fuel Suppy System,MPFI
265,Engine and Transmission,Turbo Charger,No
266,Engine and Transmission,Super Charger,No
267,Dimensions & Capacity,Length,3595mm
268,Dimensions & Capacity,Width,1475mm
269,Dimensions & Capacity,Height,1670mm
270,Dimensions & Capacity,Wheel Base,2400mm
271,Dimensions & Capacity,Front Tread,1295mm
272,Dimensions & Capacity,Rear Tread,1290mm
273,Dimensions & Capacity,Kerb Weight,860kg
274,Dimensions & Capacity,Gross Weight,1350kg
275,Miscellaneous,Gear Box,5 Speed
276,Miscellaneous,Drive Type,FWD
277,Miscellaneous,Seating Capacity,5
278,Miscellaneous,Steering Type,Manual
279,Miscellaneous,Turning Radius,4.6metres
280,Miscellaneous,Front Brake Type,Ventilated Disc
281,Miscellaneous,Rear Brake Type,Drum
282,Miscellaneous,Tyre Type,"Tubeless, Radial"
283,Miscellaneous,Alloy Wheel Size,13
284,Miscellaneous,No Door Numbers,4
285,Engine and Transmission,Color,Grey
286,Engine and Transmission,Engine Type,K Series Petrol Engine
287,Engine and Transmission,Displacement,1197
288,Engine and Transmission,Max Power,85.8bhp@6000rpm
289,Engine and Transmission,Max Torque,114Nm@4000rpm
290,Engine and Transmission,No of Cylinder,4
291,Engine and Transmission,Values per Cylinder,4
292,Engine and Transmission,Value Configuration,DOHC
293,Engine and Transmission,Fuel Suppy System,MPFI
294,Engine and Transmission,BoreX Stroke,73 X 71.5 mm
295,Engine and Transmission,Compression Ratio,10.0:1
296,Engine and Transmission,Turbo Charger,No
297,Engine and Transmission,Super Charger,No
298,Dimensions & Capacity,Length,3850mm
299,Dimensions & Capacity,Width,1695mm
300,Dimensions & Capacity,Height,1530mm
301,Dimensions & Capacity,Wheel Base,2430mm
302,Dimensions & Capacity,Front Tread,1485mm
303,Dimensions & Capacity,Rear Tread,1495mm
304,Dimensions & Capacity,Kerb Weight,970kg
305,Dimensions & Capacity,Gross Weight,1415kg
306,Miscellaneous,Gear Box,5 Speed
307,Miscellaneous,Drive Type,FWD
308,Miscellaneous,Seating Capacity,5
309,Miscellaneous,Steering Type,Power
310,Miscellaneous,Turning Radius,4.8 metres
311,Miscellaneous,Front Brake Type,Ventilated Disc
312,Miscellaneous,Rear Brake Type,Drum
313,Miscellaneous,Top Speed,160km/hr
314,Miscellaneous,Acceleration,12.29 Seconds
315,Miscellaneous,Tyre Type,"Tubeless,Radial"
316,Miscellaneous,Alloy Wheel Size,14
317,Miscellaneous,No Door Numbers,5
318,Miscellaneous,Cargo Volumn,232-litres
319,Engine and Transmission,Color,Red
320,Engine and Transmission,Engine Type,Petrol Engine
321,Engine and Transmission,Displacement,799
322,Engine and Transmission,Max Power,53.26bhp@5600rpm
323,Engine and Transmission,Max Torque,72Nm@4250rpm
324,Engine and Transmission,No of Cylinder,3
325,Engine and Transmission,Values per Cylinder,4
326,Engine and Transmission,Value Configuration,DOHC
327,Engine and Transmission,Fuel Suppy System,MPFi
328,Engine and Transmission,Turbo Charger,No
329,Engine and Transmission,Super Charger,No
330,Dimensions & Capacity,Length,3731mm
331,Dimensions & Capacity,Width,1579mm
332,Dimensions & Capacity,Height,1474mm
333,Dimensions & Capacity,Wheel Base,2422mm
334,Dimensions & Capacity,Kerb Weight,710
335,Miscellaneous,Gear Box,5 Speed
336,Miscellaneous,Drive Type,FWD
337,Miscellaneous,Seating Capacity,5
338,Miscellaneous,Steering Type,Electric
339,Miscellaneous,Turning Radius,4.9 metres
340,Miscellaneous,Front Brake Type,Disc
341,Miscellaneous,Rear Brake Type,Drum
342,Miscellaneous,Acceleration,16 Seconds
343,Miscellaneous,Tyre Type,"Tubeless,Radial"
344,Miscellaneous,No Door Numbers,5
345,Miscellaneous,Cargo Volumn,279
346,Engine and Transmission,Color,Grey
347,Engine and Transmission,Engine Type,IRDE2 Engine
348,Engine and Transmission,Displacement,1086
349,Engine and Transmission,Max Power,68.05bhp@5500rpm
350,Engine and Transmission,Max Torque,99.04Nm@4500rpm
351,Engine and Transmission,No of Cylinder,4
352,Engine and Transmission,Values per Cylinder,3
353,Engine and Transmission,Value Configuration,SOHC
354,Engine and Transmission,Fuel Suppy System,MPFI
355,Engine and Transmission,Turbo Charger,No
356,Engine and Transmission,Super Charger,No
357,Dimensions & Capacity,Length,3585mm
358,Dimensions & Capacity,Width,1595mm
359,Dimensions & Capacity,Height,1550mm
360,Dimensions & Capacity,Wheel Base,2380mm
361,Dimensions & Capacity,Front Tread,1400mm
362,Dimensions & Capacity,Rear Tread,1385mm
363,Dimensions & Capacity,Kerb Weight,860kg
364,Miscellaneous,Gear Box,5 Speed
365,Miscellaneous,Drive Type,FWD
366,Miscellaneous,Seating Capacity,5
367,Miscellaneous,Steering Type,Power
368,Miscellaneous,Turning Radius,4.7 metres
369,Miscellaneous,Front Brake Type,Ventilated Disc
370,Miscellaneous,Rear Brake Type,Drum
371,Miscellaneous,Top Speed,165 Kmph
372,Miscellaneous,Acceleration,14.3 Seconds
373,Miscellaneous,Tyre Type,Tubeless
374,Miscellaneous,No Door Numbers,5
375,Miscellaneous,Cargo Volumn,225-litres
376,Engine and Transmission,Color,Red
377,Engine and Transmission,Engine Type,Kryotec 2.0 L Turbocharged Engine
378,Engine and Transmission,Displacement,1956
379,Engine and Transmission,Max Power,167.67bhp@3750rpm
380,Engine and Transmission,Max Torque,350Nm@1750-2500rpm
381,Engine and Transmission,No of Cylinder,4
382,Engine and Transmission,Values per Cylinder,4
383,Engine and Transmission,Turbo Charger,Yes
384,Dimensions & Capacity,Length,4598mm
385,Dimensions & Capacity,Width,1894mm
386,Dimensions & Capacity,Height,1706mm
387,Dimensions & Capacity,Wheel Base,2741mm
388,Dimensions & Capacity,Kerb Weight,1700
389,Miscellaneous,Gear Box,6-Speed
390,Miscellaneous,Seating Capacity,5
391,Miscellaneous,Steering Type,Power
392,Miscellaneous,Front Brake Type,Disc
393,Miscellaneous,Rear Brake Type,Disc
394,Miscellaneous,Tyre Type,"Tubeless, Radial"
395,Miscellaneous,Alloy Wheel Size,17
396,Miscellaneous,No Door Numbers,5
397,Miscellaneous,Cargo Volumn,425
398,Engine and Transmission,Color,Silver
399,Engine and Transmission,Engine Type,VVT Petrol Engine
400,Engine and Transmission,Displacement,1197
401,Engine and Transmission,Max Power,83.1bhp@6000rpm
402,Engine and Transmission,Max Torque,115Nm@4000rpm
403,Engine and Transmission,No of Cylinder,4
404,Engine and Transmission,Values per Cylinder,4
405,Engine and Transmission,Value Configuration,DOHC
406,Engine and Transmission,Fuel Suppy System,MPFI
407,Engine and Transmission,Turbo Charger,No
408,Engine and Transmission,Super Charger,No
409,Dimensions & Capacity,Length,3995mm
410,Dimensions & Capacity,Width,1745mm
411,Dimensions & Capacity,Height,1510mm
412,Dimensions & Capacity,Wheel Base,2520mm
413,Dimensions & Capacity,Front Tread,1515mm
414,Dimensions & Capacity,Rear Tread,1525mm
415,Dimensions & Capacity,Kerb Weight,910kg
416,Dimensions & Capacity,Gross Weight,1360kg
417,Miscellaneous,Gear Box,CVT
418,Miscellaneous,Drive Type,FWD
419,Miscellaneous,Seating Capacity,5
420,Miscellaneous,Steering Type,Power
421,Miscellaneous,Turning Radius,4.9 meters
422,Miscellaneous,Front Brake Type,Disc
423,Miscellaneous,Rear Brake Type,Drum
424,Miscellaneous,Top Speed,180 Kmph
425,Miscellaneous,Acceleration,12.79 seconds
426,Miscellaneous,Tyre Type,"Tubeless,Radial"
427,Miscellaneous,No Door Numbers,5
428,Miscellaneous,Cargo Volumn,339-litres
429,Engine and Transmission,Color,Black
430,Engine and Transmission,Engine Type,1-GD FTV Engine
431,Engine and Transmission,Displacement,2755
432,Engine and Transmission,Max Power,174.5bhp@3400rpm
433,Engine and Transmission,Max Torque,450Nm@1600-2400rpm
434,Engine and Transmission,No of Cylinder,4
435,Engine and Transmission,Values per Cylinder,4
436,Engine and Transmission,Value Configuration,DOHC
437,Engine and Transmission,Fuel Suppy System,Direct Injection
438,Engine and Transmission,Turbo Charger,Yes
439,Engine and Transmission,Super Charger,No
440,Dimensions & Capacity,Length,4795mm
441,Dimensions & Capacity,Width,1855mm
442,Dimensions & Capacity,Height,1835mm
443,Dimensions & Capacity,Wheel Base,2745
444,Dimensions & Capacity,Kerb Weight,2280
445,Dimensions & Capacity,Gross Weight,2735Kg
446,Miscellaneous,Gear Box,6 Speed
447,Miscellaneous,Drive Type,4WD
448,Miscellaneous,Seating Capacity,7
449,Miscellaneous,Steering Type,Power
450,Miscellaneous,Turning Radius,5.8
451,Miscellaneous,Front Brake Type,Ventilated Disc
452,Miscellaneous,Rear Brake Type,Ventilated Disc
453,Miscellaneous,Top Speed,157.3 kmph
454,Miscellaneous,Acceleration,12.14 seconds
455,Miscellaneous,Tyre Type,"Tubeless,Radial"
456,Miscellaneous,Alloy Wheel Size,18
457,Miscellaneous,No Door Numbers,5
458,Engine and Transmission,Color,Brown
459,Engine and Transmission,Engine Type,K10C
460,Engine and Transmission,Displacement,998
461,Engine and Transmission,Max Power,65.71bhp@5500rpm
462,Engine and Transmission,Max Torque,89Nm@3500rpm
463,Engine and Transmission,No of Cylinder,3
464,Engine and Transmission,Values per Cylinder,4
465,Dimensions & Capacity,Length,3655mm
466,Dimensions & Capacity,Width,1620mm
467,Dimensions & Capacity,Height,1675mm
468,Dimensions & Capacity,Wheel Base,2435
469,Dimensions & Capacity,Front Tread,1430
470,Dimensions & Capacity,Rear Tread,1440
471,Dimensions & Capacity,Kerb Weight,810-835
472,Dimensions & Capacity,Gross Weight,1340Kg
473,Miscellaneous,Seating Capacity,5
474,Miscellaneous,Steering Type,Power
475,Miscellaneous,Turning Radius,4.7
476,Miscellaneous,Front Brake Type,Disc
477,Miscellaneous,Rear Brake Type,Drum
478,Miscellaneous,Tyre Type,"Tubeless, Radial"
479,Miscellaneous,No Door Numbers,5
480,Miscellaneous,Cargo Volumn,341
481,Engine and Transmission,Color,Grey
482,Engine and Transmission,Engine Type,1.2 l Kappa petrol
483,Engine and Transmission,Displacement,1197
484,Engine and Transmission,Max Power,81.80bhp@6000rpm
485,Engine and Transmission,Max Torque,114.74Nm@4200rpm
486,Engine and Transmission,No of Cylinder,4
487,Engine and Transmission,Values per Cylinder,4
488,Engine and Transmission,Turbo Charger,No
489,Dimensions & Capacity,Length,3995mm
490,Dimensions & Capacity,Width,1775mm
491,Dimensions & Capacity,Height,1505mm
492,Dimensions & Capacity,Wheel Base,2580mm
493,Dimensions & Capacity,Kerb Weight,1120
494,Miscellaneous,Gear Box,5 Speed
495,Miscellaneous,Seating Capacity,5
496,Miscellaneous,Steering Type,Electric
497,Miscellaneous,Front Brake Type,Disc
498,Miscellaneous,Rear Brake Type,Drum
499,Miscellaneous,Tyre Type,"Tubeless, Radial"
500,Miscellaneous,No Door Numbers,5
501,Miscellaneous,Cargo Volumn,311
502,Engine and Transmission,Color,Grey
503,Engine and Transmission,Engine Type,2.0-Litre 4-Cyl Multijet II Engine
504,Engine and Transmission,Displacement,1956
505,Engine and Transmission,Max Power,170bhp@3750rpm
506,Engine and Transmission,Max Torque,350Nm@1750-2500rpm
507,Engine and Transmission,No of Cylinder,4
508,Engine and Transmission,Values per Cylinder,4
509,Engine and Transmission,Value Configuration,DOHC
510,Engine and Transmission,Fuel Suppy System,CRDI
511,Engine and Transmission,Turbo Charger,Yes
512,Engine and Transmission,Super Charger,No
513,Dimensions & Capacity,Length,4395mm
514,Dimensions & Capacity,Width,1818mm
515,Dimensions & Capacity,Height,1640mm
516,Dimensions & Capacity,Wheel Base,2636mm
517,Dimensions & Capacity,Kerb Weight,1551 kgs
518,Miscellaneous,Gear Box,9 Speed
519,Miscellaneous,Drive Type,4X4
520,Miscellaneous,Seating Capacity,5
521,Miscellaneous,Steering Type,power
522,Miscellaneous,Front Brake Type,Disc
523,Miscellaneous,Rear Brake Type,Discs
524,Miscellaneous,Tyre Type,"Radial, Tubless"
525,Miscellaneous,Alloy Wheel Size,17
526,Miscellaneous,No Door Numbers,5
527,Miscellaneous,Cargo Volumn,408-litres
528,Engine and Transmission,Color,Red
529,Engine and Transmission,Engine Type,IRDE2 Engine
530,Engine and Transmission,Displacement,1086
531,Engine and Transmission,Max Power,68.05bhp@5500rpm
532,Engine and Transmission,Max Torque,99.04Nm@4500rpm
533,Engine and Transmission,No of Cylinder,4
534,Engine and Transmission,Values per Cylinder,3
535,Engine and Transmission,Value Configuration,SOHC
536,Engine and Transmission,Fuel Suppy System,MPFI
537,Engine and Transmission,Turbo Charger,No
538,Engine and Transmission,Super Charger,No
539,Dimensions & Capacity,Length,3585mm
540,Dimensions & Capacity,Width,1595mm
541,Dimensions & Capacity,Height,1550mm
542,Dimensions & Capacity,Wheel Base,2380mm
